id;name;geoid;geoname;value;datetime
805;Precio medio horario componente mercado diario ;;;101.8;2021-07-12T21:00:00
805;Precio medio horario componente mercado diario ;;;102.26;2021-07-12T22:00:00
805;Precio medio horario componente mercado diario ;;;95.44;2021-07-12T23:00:00
805;Precio medio horario componente mercado diario ;;;88.61;2021-07-13T00:00:00
805;Precio medio horario componente mercado diario ;;;83.4;2021-07-13T01:00:00
805;Precio medio horario componente mercado diario ;;;81.02;2021-07-13T02:00:00
805;Precio medio horario componente mercado diario ;;;81.02;2021-07-13T03:00:00
805;Precio medio horario componente mercado diario ;;;83.01;2021-07-13T04:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-13T05:00:00
805;Precio medio horario componente mercado diario ;;;98.01;2021-07-13T06:00:00
805;Precio medio horario componente mercado diario ;;;101.53;2021-07-13T07:00:00
805;Precio medio horario componente mercado diario ;;;106.97;2021-07-13T08:00:00
805;Precio medio horario componente mercado diario ;;;101.27;2021-07-13T09:00:00
805;Precio medio horario componente mercado diario ;;;100.05;2021-07-13T10:00:00
805;Precio medio horario componente mercado diario ;;;97;2021-07-13T11:00:00
805;Precio medio horario componente mercado diario ;;;98.97;2021-07-13T12:00:00
805;Precio medio horario componente mercado diario ;;;97.96;2021-07-13T13:00:00
805;Precio medio horario componente mercado diario ;;;95.28;2021-07-13T14:00:00
805;Precio medio horario componente mercado diario ;;;92.17;2021-07-13T15:00:00
805;Precio medio horario componente mercado diario ;;;91.92;2021-07-13T16:00:00
805;Precio medio horario componente mercado diario ;;;95.97;2021-07-13T17:00:00
805;Precio medio horario componente mercado diario ;;;98.01;2021-07-13T18:00:00
805;Precio medio horario componente mercado diario ;;;97.72;2021-07-13T19:00:00
805;Precio medio horario componente mercado diario ;;;98.97;2021-07-13T20:00:00
805;Precio medio horario componente mercado diario ;;;98.52;2021-07-13T21:00:00
805;Precio medio horario componente mercado diario ;;;97;2021-07-13T22:00:00
805;Precio medio horario componente mercado diario ;;;92.05;2021-07-13T23:00:00
805;Precio medio horario componente mercado diario ;;;98.97;2021-07-14T00:00:00
805;Precio medio horario componente mercado diario ;;;95.94;2021-07-14T01:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-14T02:00:00
805;Precio medio horario componente mercado diario ;;;86.55;2021-07-14T03:00:00
805;Precio medio horario componente mercado diario ;;;79.01;2021-07-14T04:00:00
805;Precio medio horario componente mercado diario ;;;78;2021-07-14T05:00:00
805;Precio medio horario componente mercado diario ;;;87.55;2021-07-14T06:00:00
805;Precio medio horario componente mercado diario ;;;90.05;2021-07-14T07:00:00
805;Precio medio horario componente mercado diario ;;;90.05;2021-07-14T08:00:00
805;Precio medio horario componente mercado diario ;;;88.19;2021-07-14T09:00:00
805;Precio medio horario componente mercado diario ;;;84;2021-07-14T10:00:00
805;Precio medio horario componente mercado diario ;;;92;2021-07-14T11:00:00
805;Precio medio horario componente mercado diario ;;;95.41;2021-07-14T12:00:00
805;Precio medio horario componente mercado diario ;;;88.55;2021-07-14T13:00:00
805;Precio medio horario componente mercado diario ;;;76.65;2021-07-14T14:00:00
805;Precio medio horario componente mercado diario ;;;74.99;2021-07-14T15:00:00
805;Precio medio horario componente mercado diario ;;;73.75;2021-07-14T16:00:00
805;Precio medio horario componente mercado diario ;;;73.74;2021-07-14T17:00:00
805;Precio medio horario componente mercado diario ;;;72.9;2021-07-14T18:00:00
805;Precio medio horario componente mercado diario ;;;74.99;2021-07-14T19:00:00
805;Precio medio horario componente mercado diario ;;;87.5;2021-07-14T20:00:00
805;Precio medio horario componente mercado diario ;;;88.11;2021-07-14T21:00:00
805;Precio medio horario componente mercado diario ;;;85.5;2021-07-14T22:00:00
805;Precio medio horario componente mercado diario ;;;75.68;2021-07-14T23:00:00
805;Precio medio horario componente mercado diario ;;;81;2021-07-15T00:00:00
805;Precio medio horario componente mercado diario ;;;72.67;2021-07-15T01:00:00
805;Precio medio horario componente mercado diario ;;;70.99;2021-07-15T02:00:00
805;Precio medio horario componente mercado diario ;;;69.94;2021-07-15T03:00:00
805;Precio medio horario componente mercado diario ;;;69.61;2021-07-15T04:00:00
805;Precio medio horario componente mercado diario ;;;69.86;2021-07-15T05:00:00
805;Precio medio horario componente mercado diario ;;;72.57;2021-07-15T06:00:00
805;Precio medio horario componente mercado diario ;;;76.64;2021-07-15T07:00:00
805;Precio medio horario componente mercado diario ;;;93.05;2021-07-15T08:00:00
805;Precio medio horario componente mercado diario ;;;89.04;2021-07-15T09:00:00
805;Precio medio horario componente mercado diario ;;;91.36;2021-07-15T10:00:00
805;Precio medio horario componente mercado diario ;;;93.05;2021-07-15T11:00:00
805;Precio medio horario componente mercado diario ;;;94.79;2021-07-15T12:00:00
805;Precio medio horario componente mercado diario ;;;90.86;2021-07-15T13:00:00
805;Precio medio horario componente mercado diario ;;;96.11;2021-07-15T14:00:00
805;Precio medio horario componente mercado diario ;;;96.11;2021-07-15T15:00:00
805;Precio medio horario componente mercado diario ;;;96.05;2021-07-15T16:00:00
805;Precio medio horario componente mercado diario ;;;95.68;2021-07-15T17:00:00
805;Precio medio horario componente mercado diario ;;;94.64;2021-07-15T18:00:00
805;Precio medio horario componente mercado diario ;;;96.7;2021-07-15T19:00:00
805;Precio medio horario componente mercado diario ;;;96.3;2021-07-15T20:00:00
805;Precio medio horario componente mercado diario ;;;98;2021-07-15T21:00:00
805;Precio medio horario componente mercado diario ;;;96.59;2021-07-15T22:00:00
805;Precio medio horario componente mercado diario ;;;90.8;2021-07-15T23:00:00
805;Precio medio horario componente mercado diario ;;;87.55;2021-07-16T00:00:00
805;Precio medio horario componente mercado diario ;;;75.75;2021-07-16T01:00:00
805;Precio medio horario componente mercado diario ;;;71.78;2021-07-16T02:00:00
805;Precio medio horario componente mercado diario ;;;70.99;2021-07-16T03:00:00
805;Precio medio horario componente mercado diario ;;;70.99;2021-07-16T04:00:00
805;Precio medio horario componente mercado diario ;;;76.67;2021-07-16T05:00:00
805;Precio medio horario componente mercado diario ;;;90;2021-07-16T06:00:00
805;Precio medio horario componente mercado diario ;;;97.43;2021-07-16T07:00:00
805;Precio medio horario componente mercado diario ;;;101.55;2021-07-16T08:00:00
805;Precio medio horario componente mercado diario ;;;97.91;2021-07-16T09:00:00
805;Precio medio horario componente mercado diario ;;;93.37;2021-07-16T10:00:00
805;Precio medio horario componente mercado diario ;;;90.42;2021-07-16T11:00:00
805;Precio medio horario componente mercado diario ;;;89.06;2021-07-16T12:00:00
805;Precio medio horario componente mercado diario ;;;90.01;2021-07-16T13:00:00
805;Precio medio horario componente mercado diario ;;;90;2021-07-16T14:00:00
805;Precio medio horario componente mercado diario ;;;87;2021-07-16T15:00:00
805;Precio medio horario componente mercado diario ;;;82.86;2021-07-16T16:00:00
805;Precio medio horario componente mercado diario ;;;84.74;2021-07-16T17:00:00
